name,folder,description,filename
GB_2260,GB-2260,,GB-2260
CCS,CCS,,CCS
ICS,ICS,,ICS
ICS_CN,ICS,,ICS-CN
ISO_3166_1,ISO-3166-1,,ISO-3166-1
ISO_3166_1_CN,ISO-3166-1,,ISO-3166-1-CN
ISO_4217_CN,ISO-4217,,ISO-4217-CN
ISO_4217,ISO-4217,,ISO-4217
GB_3304_1991,GB-3304-1991,,GB-3304-1991
GB_4754_2017,GB-4754-2017,,GB-4754-2017
GB_4763_2008,GB-4763-2008,,GB-4763-2008
GB_6864_2003,GB-6864-2003,,GB-6864-2003
