"id","parent_id","code","name","enabled","dest"
371,7,"19.080","Electrical and electronic testing",1,"Including testing equipment 
Equipment for measuring electrical and magnetic quantities, see 17.220.20"
372,7,"19.100","Non-destructive testing",1,"Including testing equipment: industrial apparatus for X-ray and gamma radiography, penetrant flaw detectors, etc. 
Non-destructive testing of welded joints, see 25.160.40 
Industrial radiographic films, see 37.040.25 
Non-destructive testing of metals, see 77.040.20"
373,7,"19.120","Particle size analysis. Sieving",1,"Including test sieves and porosimetry"
380,8,"21.020","Characteristics and design of machines, apparatus, equipment",1,"Including reliability, dependability, maintainability, durability, etc. 
Safety of machinery, see 13.110"
381,8,"21.040","Screw threads",1,"Screw threads for aerospace construction, see 49.030.10"
382,8,"21.060","Fasteners",1,"Fasteners related to surgery, prosthetics and orthotics, see 11.040.40 
Fasteners for aerospace construction, see 49.030"
383,8,"21.080","Hinges, eyelets and other articulated joints",1,
384,8,"21.100","Bearings",1,
385,8,"21.120","Shafts and couplings",1,
386,8,"21.140","Seals, glands",1,"Seals for pipe and hose assemblies, see 23.040.80"
387,8,"21.160","Springs",1,"Steels for springs, see 77.140.25"
388,8,"21.180","Housings, enclosures, other machine parts",1,
389,8,"21.200","Gears",1,
390,8,"21.220","Flexible drives and transmissions",1,
391,8,"21.240","Rotary-reciprocating mechanisms and their parts",1,"Including pistons, piston-rings, crankshafts, etc. for general engineering"
392,8,"21.260","Lubrication systems",1,"Lubricants, see 75.100"
395,381,"21.040.01","Screw threads in general",1,
396,381,"21.040.10","Metric screw threads",1,
397,381,"21.040.20","Inch screw threads",1,"Including Whitworth screw threads 
Pipe threads, see 21.040.30"
398,381,"21.040.30","Special screw threads",1,"Including miniature screw threads, pipe threads, etc."
400,382,"21.060.01","Fasteners in general",1,
401,382,"21.060.10","Bolts, screws, studs",1,
402,382,"21.060.20","Nuts",1,
403,382,"21.060.30","Washers, locking elements",1,
404,382,"21.060.40","Rivets",1,
405,382,"21.060.50","Pins, nails",1,
406,382,"21.060.60","Rings, bushes, sleeves, collars",1,
407,382,"21.060.70","Clamps and staples",1,
408,382,"21.060.99","Other fasteners",1,
411,384,"21.100.01","Bearings in general",1,
412,384,"21.100.10","Plain bearings",1,
413,384,"21.100.20","Rolling bearings",1,
415,385,"21.120.01","Shafts and couplings in general",1,
416,385,"21.120.10","Shafts",1,
417,385,"21.120.20","Couplings",1,
418,385,"21.120.30","Keys and keyways, splines",1,
419,385,"21.120.40","Balancing and balancing machines",1,
420,385,"21.120.99","Other standards related to shafts and couplings",1,
426,390,"21.220.01","Flexible drives and transmissions in general",1,
427,390,"21.220.10","Belt drives and their components",1,
428,390,"21.220.20","Cable or rope drives and their components",1,
429,390,"21.220.30","Chain drives and their components",1,
430,390,"21.220.99","Other flexible drives and transmissions",1,
433,9,"23.020","Fluid storage devices",1,"Small containers for transportation of fluids and bulk materials, see 55.140 
Storage devices for petroleum products and natural gas, see 75.200"
434,9,"23.040","Pipeline components and pipelines",1,"Pipeline components and pipelines for petroleum products and natural gas, see 75.200"
435,9,"23.060","Valves",1,
436,9,"23.080","Pumps",1,"Pumps for fluid power systems, see 23.100.10 
Vacuum pumps, see 23.160"
437,9,"23.100","Fluid power systems",1,
438,9,"23.120","Ventilators. Fans. Air-conditioners",1,"Marine ventilation and air-conditioning systems, see 47.020.90 
Mining ventilation and air-conditioning systems, see 73.100.20 
Ventilation and air-conditioning in buildings, see 91.140.30"
439,9,"23.140","Compressors and pneumatic machines",1,"Compressed air, see 71.100.20"
440,9,"23.160","Vacuum technology",1,"Including vacuum pumps"
442,433,"23.020.01","Fluid storage devices in general",1,
443,433,"23.020.10","Stationary containers and tanks",1,
444,433,"23.020.20","Vessels and containers mounted on vehicles",1,"Tanker trucks, see 43.080.10 
Tank wagons, see 45.060.20 
Tankers, see 47.020.85 
Small containers for fluids, see 55.140"
445,433,"23.020.30","Pressure vessels",1,"Steam pressure vessels, see 27.060.30 
Steels for pressure purposes, see 77.140.30"
446,433,"23.020.40","Cryogenic vessels",1,
447,433,"23.020.99","Other fluid storage devices",1,
449,434,"23.040.01","Pipeline components and pipelines in general",1,
450,434,"23.040.10","Iron and steel pipes",1,"Steel pipes and tubes for specific use, see 77.140.75"
451,434,"23.040.15","Non-ferrous metal pipes",1,"Non-ferrous metal pipes and tubes for specific use, see 77.150"
452,434,"23.040.20","Plastics pipes",1,
453,434,"23.040.40","Metal fittings",1,
454,434,"23.040.45","Plastics fittings",1,
455,434,"23.040.50","Pipes and fittings of other materials",1,
456,434,"23.040.60","Flanges, couplings and joints",1,
457,434,"23.040.70","Hoses and hose assemblies",1,
458,434,"23.040.80","Seals for pipe and hose assemblies",1,
459,434,"23.040.99","Other pipeline components",1,
461,435,"23.060.01","Valves in general",1,
462,435,"23.060.10","Globe valves",1,
463,435,"23.060.20","Ball and plug valves",1,
464,435,"23.060.30","Gate valves",1,
465,435,"23.060.40","Pressure regulators",1,"Including pressure-reducers 
Protection against excessive pressure, see 13.240"
466,435,"23.060.50","Check valves",1,
467,435,"23.060.99","Other valves",1,
470,437,"23.100.01","Fluid power systems in general",1,
471,437,"23.100.10","Pumps and motors",1,
472,437,"23.100.20","Cylinders",1,
473,437,"23.100.40","Piping and couplings",1,
474,437,"23.100.50","Control components",1,"Including valves"
475,437,"23.100.60","Filters, seals and contamination of fluids",1,"Hydraulic fluids, see 75.120"
476,437,"23.100.99","Other fluid power system components",1,
480,10,"25.020","Manufacturing forming processes",1,
481,10,"25.040","Industrial automation systems",1,"IT applications in industry, see 35.240.50"
482,10,"25.060","Machine tool systems",1,
483,10,"25.080","Machine tools",1,"Woodworking machines, see 79.120.10"
484,10,"25.100","Cutting tools",1,"Including industrial diamonds 
Woodworking tools, see 79.120.20"
485,10,"25.120","Chipless working equipment",1,
486,10,"25.140","Hand-held tools",1,"Tools for working with voltages, see 13.260"
487,10,"25.160","Welding, brazing and soldering",1,"Including gas welding, electric welding, plasma welding, electron beam welding, plasma cutting, etc."
488,10,"25.180","Industrial furnaces",1,
489,10,"25.200","Heat treatment",1,
490,10,"25.220","Surface treatment and coating",1,"Including processes and equipment for surface treatment and coating 
Heat treatment, see 25.200 
Surface treatment and coating in aerospace industry, see 49.040 
Corrosion of metals, see 77.060 
Paint coating, see 87.020"
493,481,"25.040.01","Industrial automation systems in general",1,
494,481,"25.040.10","Machining centres",1,
495,481,"25.040.20","Numerically controlled machines",1,
496,481,"25.040.30","Industrial robots. Manipulators",1,
497,481,"25.040.40","Industrial process measurement and control",1,
498,481,"25.040.99","Other industrial automation systems",1,
500,482,"25.060.01","Machine tool systems in general",1,
501,482,"25.060.10","Modular units and other devices",1,
502,482,"25.060.20","Dividing and tool-workpiece holding devices",1,
503,482,"25.060.99","Other machine tool systems",1,
505,483,"25.080.01","Machine tools in general",1,
506,483,"25.080.10","Lathes",1,
507,483,"25.080.20","Boring and milling machines",1,
508,483,"25.080.25","Planing machines",1,
509,483,"25.080.30","Broaching machines",1,
510,483,"25.080.40","Drilling machines",1,
511,483,"25.080.50","Grinding and polishing machines",1,
512,483,"25.080.60","Sawing machines",1,
513,483,"25.080.99","Other machine tools",1,
515,484,"25.100.01","Cutting tools in general",1,
516,484,"25.100.10","Turning tools",1,
517,484,"25.100.20","Milling tools",1,
518,484,"25.100.25","Tools for planing and broaching machines",1,
519,484,"25.100.30","Drills, countersinks, reamers",1,
520,484,"25.100.40","Saws",1,
521,484,"25.100.50","Taps and threading dies",1,
522,484,"25.100.60","Files",1,
523,484,"25.100.70","Abrasives",1,
524,484,"25.100.99","Other cutting tools",1,
526,485,"25.120.01","Chipless working equipment in general",1,
527,485,"25.120.10","Forging equipment. Presses. Shears",1,
528,485,"25.120.20","Rolling, extruding and drawing equipment",1,
529,485,"25.120.30","Moulding equipment",1,
530,485,"25.120.40","Electrochemical machines",1,
531,485,"25.120.99","Other chipless working equipment",1,
533,486,"25.140.01","Hand-held tools in general",1,
534,486,"25.140.10","Pneumatic tools",1,
535,486,"25.140.20","Electric tools",1,"Chain- and brush-saws, see 65.060.80"
536,486,"25.140.30","Hand-operated tools",1,"Including wrenches, screwdrivers, pliers, nippers, hammers, etc."
537,486,"25.140.99","Other hand-held tools",1,
539,487,"25.160.01","Welding, brazing and soldering in general",1,"Including welders' qualifications"
540,487,"25.160.10","Welding processes",1,"Including thermal cutting and cladding"
541,487,"25.160.20","Welding consumables",1,"Including electrodes, filler metals, gases, etc."
542,487,"25.160.30","Welding equipment",1,"Including thermal cutting equipment"
543,487,"25.160.40","Welded joints and welds",1,"Including welding position and mechanical and non-destructive testing of welded joints"
544,487,"25.160.50","Brazing and soldering",1,"Including brazing and soldering alloys and equipment"
546,488,"25.180.01","Industrial furnaces in general",1,
547,488,"25.180.10","Electric furnaces",1,
548,488,"25.180.20","Fuel furnaces",1,
551,490,"25.220.01","Surface treatment and coating in general",1,
552,490,"25.220.10","Surface preparation",1,"Including surface preparation for painting, cleaning, scouring, blasting, etc."
553,490,"25.220.20","Surface treatment",1,"Including anodization, conversion coating, thermal spraying, etc."
554,490,"25.220.40","Metallic coatings",1,"Including electrolytic depositions, cathodic coatings, autocatalytic coatings, etc."
555,490,"25.220.50","Enamels",1,
556,490,"25.220.60","Organic coatings",1,
557,490,"25.220.99","Other treatments and coatings",1,
558,11,"27.010","Energy and heat transfer engineering in general",1,
559,11,"27.020","Internal combustion engines",1,"Internal combustion engines for current generating sets, see 29.160.40 
Internal combustion engines for road vehicles, see 43.060 
Marine engines, see 47.020.20"
560,11,"27.040","Gas and steam turbines. Steam engines",1,"Hydraulic turbines, see 27.140"
561,11,"27.060","Burners. Boilers",1,
562,11,"27.070","Fuel cells",1,
563,11,"27.080","Heat pumps",1,
564,11,"27.100","Power stations in general",1,"Including thermal power plants 
Nuclear power plants, see 27.120.20 
Hydraulic power plants, see 27.140 
Solar power stations, see 27.160 
Wind turbine systems, see 27.180"
565,11,"27.120","Nuclear energy engineering",1,
566,11,"27.140","Hydraulic energy engineering",1,"Including hydraulic turbines"
567,11,"27.160","Solar energy engineering",1,"Including photovoltaic energy systems"
568,11,"27.180","Wind turbine energy systems",1,"Including generation of electrical energy"
569,11,"27.200","Refrigerating technology",1,"Air-conditioners, see 23.120 
Refrigerants, see 71.100.45 
Commercial refrigerating appliances, see 97.130.20 
Household refrigerating appliances, see 97.040.30"
570,11,"27.220","Heat recovery. Thermal insulation",1,"Thermal insulation of buildings, see 91.120.10"
575,561,"27.060.01","Burners and boilers in general",1,"Burners and boilers for central heating systems, see 91.140.10"
576,561,"27.060.10","Liquid and solid fuel burners",1,
577,561,"27.060.20","Gas fuel burners",1,
578,561,"27.060.30","Boilers and heat exchangers",1,"Including steam pressure vessels 
Heat exchangers for medical use, see 11.040.10 
Heat exchangers for the chemical industry, see 71.120.30 
Heat exchangers for the petroleum and natural gas industry, see 75.180.20 
Heating appliances for buildings, see 97.100"
583,565,"27.120.01","Nuclear energy in general",1,
584,565,"27.120.10","Reactor engineering",1,
585,565,"27.120.20","Nuclear power plants. Safety",1,"Radiation protection, see 13.280"
586,565,"27.120.30","Fissile materials and nuclear fuel technology",1,"Including raw materials 
Radioactive wastes, see 13.030.30"
587,565,"27.120.99","Other standards related to nuclear energy",1,
593,12,"29.020","Electrical engineering in general",1,"Including voltages, general electrical terminology, electrical documentation, electrical tables, safety, fire hazard testing, etc. 
Electrical diagrams and charts, see 01.100.25 
Electrical power stations, see 27.100 
Electromagnetic compatibility, see 33.100"
594,12,"29.030","Magnetic materials",1,"Steels with special magnetic properties, see 77.140.40"
595,12,"29.035","Insulating materials",1,
596,12,"29.040","Insulating fluids",1,
597,12,"29.045","Semiconducting materials",1,
598,12,"29.050","Superconductivity and conducting materials",1,
599,12,"29.060","Electrical wires and cables",1,
600,12,"29.080","Insulation",1,"Insulating materials, see 29.035 
Insulating fluids, see 29.040"
601,12,"29.100","Components for electrical equipment",1,"Electronic components, see 31"
602,12,"29.120","Electrical accessories",1,
603,12,"29.140","Lamps and related equipment",1,
604,12,"29.160","Rotating machinery",1,
605,12,"29.180","Transformers. Reactors",1,"Instrument transformers, see 17.220.20"
606,12,"29.200","Rectifiers. Converters. Stabilized power supply",1,"Including semiconductor converters"
607,12,"29.220","Galvanic cells and batteries",1,
608,12,"29.240","Power transmission and distribution networks",1,"Electricity supply systems in buildings, see 91.140.50"
609,12,"29.260","Electrical equipment for working in special conditions",1,
610,12,"29.280","Electric traction equipment",1,"Including railway electric fixed installations 
Electric road vehicles, see 43.120 
Non-electric railway tractive stock, see 45.060.10"
614,595,"29.035.01","Insulating materials in general",1,
615,595,"29.035.10","Paper and board insulating materials",1,
616,595,"29.035.20","Plastics and rubber insulating materials",1,"Including adhesive tapes"
617,595,"29.035.30","Glass and ceramic insulating materials",1,
618,595,"29.035.50","Mica based materials",1,
619,595,"29.035.60","Varnished fabrics",1,
