"id","code","name","name_cn","parent_id","enabled","dest"
1262,"71.100.20","Gases for industrial application","工业气体",1227,1,"Including compressed air and hydrogen 
Hydrogen technologies, see 27.075 
Liquefied petroleum gases, see 75.160.30"
1263,"71.100.30","Explosives. Pyrotechnics and fireworks","爆炸物、烟火",1227,1,
1264,"71.100.35","Chemicals for industrial and domestic disinfection purposes","工业和家庭用化学品",1227,1,"Medical disinfectants and antiseptics, see 11.080.20"
1265,"71.100.40","Surface active agents","表面活性剂及其他助剂",1227,1,
1266,"71.100.45","Refrigerants and antifreezes","制冷剂和防冻液",1227,1,
1267,"71.100.50","Wood-protecting chemicals","木材防护化学药品",1227,1,
1268,"71.100.55","Silicones","硅树脂",1227,1,
1269,"71.100.60","Essential oils","香精油",1227,1,
1270,"71.100.70","Cosmetics. Toiletries","美容品、化妆品",1227,1,"Cosmetics microbiology, see 07.100.40"
1271,"71.100.80","Chemicals for purification of water","水净化用化学试剂",1227,1,
1272,"71.100.99","Other products of the chemical industry","其他化工产品",1227,1,
1274,"71.120.01","Equipment for the chemical industry in general","化工设备综合",1228,1,
1275,"71.120.10","Reaction vessels and their components","反应容器及其组件",1228,1,
1276,"71.120.20","Columns","蒸馏塔",1228,1,
1277,"71.120.30","Heat exchangers","热交换器",1228,1,
1278,"71.120.99","Other equipment for the chemical industry","其他化工设备",1228,1,
1279,"73.020","Mining and quarrying","采矿和挖掘",29,1,"Including exploration, opening-up, development, working of mineral deposits, drilling, construction of mines, mining operations, processing of minerals, etc."
1280,"73.040","Coals","煤",29,1,"Including lignites 
Coal products, see 75.160.10"
1281,"73.060","Metalliferous minerals and their concentrates","金属矿",29,1,"Uranium-containing minerals, see 27.120.30"
1282,"73.080","Non-metalliferous minerals","非金属矿",29,1,"Including mica, fluorspar, etc. 
Industrial diamonds, see 25.100 
Precious and semi-precious stones, see 39.060"
1283,"73.100","Mining equipment","采矿设备",29,1,"Electrical apparatus for explosive atmospheres, see 29.260.20"
1284,"73.120","Equipment for processing of minerals","矿产加工设备",29,1,"Including equipment for milling, sizing, separation, flotation, concentration, etc."
1288,"73.060.01","Metalliferous minerals in general","金属矿综合",1281,1,
1289,"73.060.10","Iron ores","铁矿",1281,1,
1290,"73.060.20","Manganese ores","锰矿",1281,1,
1291,"73.060.30","Chromium ores","铬矿",1281,1,
1292,"73.060.40","Aluminium ores","铝矿",1281,1,
1293,"73.060.99","Other metalliferous minerals","其他金属矿",1281,1,
1296,"73.100.01","Mining equipment in general","采矿设备综合",1283,1,
1297,"73.100.10","Tunnelling and tubing equipment","巷道掘进和敷设管道设备",1283,1,
1298,"73.100.20","Ventilation, air-conditioning and illumination equipment","通风、空调和照明设备",1283,1,
1299,"73.100.30","Equipment for drilling and mine excavation","钻井和挖掘设备",1283,1,"Including equipment for seabed mining 
Drilling equipment for the petroleum industry, see 75.180.10"
1300,"73.100.40","Haulage and hoisting equipment","牵引和起重设备",1283,1,
1301,"73.100.99","Other mining equipment","其他采矿设备",1283,1,
1303,"75.020","Extraction and processing of petroleum and natural gas","石油和天然气的开采与加工",30,1,
1304,"75.040","Crude petroleum","原油",30,1,
1305,"75.060","Natural gas","天然气",30,1,
1306,"75.080","Petroleum products in general","石油产品综合",30,1,
1307,"75.100","Lubricants, industrial oils and related products","润滑剂、工业油及相关产品",30,1,"Including mineral oils, fluids for metal working and for temporary protection against corrosion 
Lubrication systems, see 21.260 
Insulating oils, see 29.040.10"
1308,"75.120","Hydraulic fluids","液压液",30,1,"Fluid power systems, see 23.100"
1309,"75.140","Waxes, bituminous materials and other petroleum products","石蜡、沥青材料和其他石油产品",30,1,"Asphalts for building, see 91.100.50 
Asphalts for road construction, see 93.080.20"
1310,"75.160","Fuels","燃料",30,1,
1311,"75.180","Equipment for petroleum and natural gas industries","石油和天然气工业设备",30,1,
1312,"75.200","Petroleum products and natural gas handling equipment","石油产品和天然气储运设备",30,1,"Including petroleum and natural gas storage devices, distribution systems, pipelines, petrol stations, dispensing devices, etc."
1321,"75.160.01","Fuels in general","燃料综合",1310,1,
1322,"75.160.10","Solid fuels","固体燃料",1310,1,"Including coal products, coke, peat, wood, derivatives of coal pyrolysis, etc. 
Coals, see 73.040 
Solid biofuels, see 75.160.40"
1323,"75.160.20","Liquid fuels","液体燃料",1310,1,"Including gasoline, diesel, kerosene, etc. 
Liquid biofuels, see 75.160.40"
1324,"75.160.30","Gaseous fuels","气体燃料",1310,1,"Including liquefied petroleum gases 
Hydrogen, see 71.100.20 
Biogas, see 75.160.40 
Natural gas, see 75.060"
1326,"75.180.01","Equipment for petroleum and natural gas industries in general","石油和天然气工业设备综合",1311,1,
1327,"75.180.10","Exploratory, drilling and extraction equipment","勘探和钻采设备",1311,1,"Including offshore structures"
1328,"75.180.20","Processing equipment","加工设备",1311,1,
1329,"75.180.30","Volumetric equipment and measurements","容积测量和容积设备",1311,1,
1330,"75.180.99","Other equipment for petroleum and natural gas industries","其他石油和天然气设备",1311,1,
1332,"77.020","Production of metals","金属生产",31,1,
1333,"77.040","Testing of metals","金属材料试验",31,1,
1334,"77.060","Corrosion of metals","金属的腐蚀",31,1,"Surface treatment and coating, see 25.220"
1335,"77.080","Ferrous metals","黑色金属",31,1,"Including classification, designation, sampling, chemical analysis, etc. 
Dimensions and quality grades of iron and steel products, see 77.140"
1336,"77.100","Ferroalloys","铁合金",31,1,"Including classification, designation, sampling, chemical analysis, etc."
1337,"77.120","Non-ferrous metals","有色金属",31,1,"Including classification, designation, sampling, chemical analysis, etc. 
Precious metals for dentistry, see 11.060.10 
Precious metals for jewellery, see 39.060 
Dimensions and quality grades of non-ferrous metal products, see 77.150"
1338,"77.140","Iron and steel products","钢铁产品",31,1,"Steel products for aerospace construction, see 49.025.10"
1339,"77.150","Products of non-ferrous metals","有色金属产品",31,1,"Including products of non-ferrous metal alloys 
Products of non-ferrous metals for aerospace construction, see 49.025"
1340,"77.160","Powder metallurgy","粉末冶金",31,1,"Including sintered metal materials and hard metals"
1341,"77.180","Equipment for the metallurgical industry","冶金设备",31,1,
1344,"77.040.01","Testing of metals in general","金属材料试验综合",1333,1,
1345,"77.040.10","Mechanical testing of metals","金属材料力学试验",1333,1,"Mechanical testing in general, see 19.060 
Mechanical testing of welded joints, see 25.160.40"
1346,"77.040.20","Non-destructive testing of metals","金属材料无损检测",1333,1,"Non-destructive testing in general, see 19.100 
Non-destructive testing of welded joints, see 25.160.40"
1347,"77.040.30","Chemical analysis of metals","金属材料化学分析",1333,1,"Chemical analysis in general, see 71.040.40 
Chemical analysis of ferroalloys, see 77.100 
Chemical analysis of non-ferrous metals, see 77.120 
Chemical analysis of sintered metals and hard metals, see 77.160 
Chemical analysis of ferrous metals, see 77.080"
1348,"77.040.99","Other methods of testing of metals","金属材料的其他试验方法",1333,1,
1351,"77.080.01","Ferrous metals in general","黑色金属综合",1335,1,
1352,"77.080.10","Irons","铁",1335,1,
1353,"77.080.20","Steels","钢",1335,1,
1356,"77.120.01","Non-ferrous metals in general","有色金属综合",1337,1,
1357,"77.120.10","Aluminium and aluminium alloys","铝和铝合金",1337,1,
1358,"77.120.20","Magnesium and magnesium alloys","镁和镁合金",1337,1,
1359,"77.120.30","Copper and copper alloys","铜和铜合金",1337,1,
1360,"77.120.40","Nickel, chromium and their alloys","镍、铬及其合金",1337,1,
1361,"77.120.50","Titanium and titanium alloys","钛和钛合金",1337,1,
1362,"77.120.60","Lead, zinc, tin and their alloys","铅、锌、锡及其合金",1337,1,
1363,"77.120.70","Cadmium, cobalt and their alloys","镉、钴及其合金",1337,1,
1364,"77.120.99","Other non-ferrous metals and their alloys","其他有色金属及其合金",1337,1,
1366,"77.140.01","Iron and steel products in general","钢铁产品综合",1338,1,
1367,"77.140.10","Heat-treatable steels","热处理钢",1338,1,
1368,"77.140.15","Steels for reinforcement of concrete","混凝土增强用钢",1338,1,
1369,"77.140.20","Stainless steels","不锈钢",1338,1,"Including alloyed steels, corrosion-resistant steels, heat-resisting steels, etc."
1370,"77.140.25","Spring steels","弹簧钢",1338,1,
1371,"77.140.30","Steels for pressure purposes","承压钢",1338,1,"Steels for pressure pipes and tubes for specific use, see 77.140.75"
1372,"77.140.35","Tool steels","工具钢",1338,1,
1373,"77.140.40","Steels with special magnetic properties","特殊磁性钢",1338,1,
1374,"77.140.45","Non-alloyed steels","非合金钢",1338,1,
1375,"77.140.50","Flat steel products and semi-products","扁平钢和半成品",1338,1,
1376,"77.140.60","Steel bars and rods","钢棒和钢条",1338,1,
1377,"77.140.65","Steel wire, wire ropes and link chains","钢丝、钢丝绳和环节链",1338,1,"Lifting link chains and wire ropes, see 53.020.30 
Steel wire for springs, see 77.140.25"
1378,"77.140.70","Steel profiles","型钢",1338,1,"Including sections"
1379,"77.140.75","Steel pipes and tubes for specific use","特殊用管钢",1338,1,"Including hollow steel bars and sections for construction 
Steel pipes for conducting fluids, see 23.040.10"
1380,"77.140.80","Iron and steel castings","钢铁铸件",1338,1,
1381,"77.140.85","Iron and steel forgings","钢铁锻件",1338,1,
1382,"77.140.99","Other iron and steel products","其他钢铁产品",1338,1,
1384,"77.150.01","Products of non-ferrous metals in general","有色金属产品综合",1339,1,
1385,"77.150.10","Aluminium products","铝产品",1339,1,
1386,"77.150.20","Magnesium products","锰产品",1339,1,
1387,"77.150.30","Copper products","铜产品",1339,1,
1388,"77.150.40","Nickel and chromium products","镍和铬产品",1339,1,
1389,"77.150.50","Titanium products","钛产品",1339,1,
1390,"77.150.60","Lead, zinc and tin products","铅、锌和锡产品",1339,1,
1391,"77.150.70","Cadmium and cobalt products","镉和钴产品",1339,1,
1392,"77.150.99","Other products of non-ferrous metals","其他有色金属产品",1339,1,
1395,"79.020","Wood technology processes","木材加工技术",32,1,"Including logging and wood treatment 
Wood-protecting chemicals, see 71.100.50"
1396,"79.040","Wood, sawlogs and sawn timber","木材、原木和锯材",32,1,
1397,"79.060","Wood-based panels","木基板材",32,1,
1398,"79.080","Semi-manufactures of timber","半成品材",32,1,
1399,"79.100","Cork and cork products","软木和软木制品",32,1,
1400,"79.120","Woodworking equipment","木工设备",32,1,
1404,"79.060.01","Wood-based panels in general","木基板材综合",1397,1,
1405,"79.060.10","Plywood","胶合板",1397,1,
1406,"79.060.20","Fibre and particle boards","纤维和刨花板",1397,1,
1407,"79.060.99","Other wood-based panels","其他木基板材",1397,1,
1411,"79.120.01","Woodworking equipment in general","木工设备综合",1400,1,
1412,"79.120.10","Woodworking machines","木工机械",1400,1,"Chain- and brush-saws, see 65.060.80"
1413,"79.120.20","Woodworking tools","木工工具",1400,1,
1414,"79.120.99","Other woodworking equipment","其他木工设备",1400,1,
1415,"81.020","Processes in the glass and ceramics industries","玻璃和陶瓷生产工艺",33,1,
1416,"81.040","Glass","玻璃",33,1,
1417,"81.060","Ceramics","陶瓷",33,1,"Including glass-ceramics"
1418,"81.080","Refractories","耐火材料",33,1,"Including ceramic refractories"
1419,"81.100","Equipment for the glass and ceramics industries","玻璃和陶瓷生产设备",33,1,
1422,"81.040.01","Glass in general","玻璃综合",1416,1,
1423,"81.040.10","Raw materials and raw glass","原材料和未加工的玻璃",1416,1,
1424,"81.040.20","Glass in building","建筑玻璃",1416,1,
1425,"81.040.30","Glass products","玻璃产品",1416,1,"Bottles, pots, jars, see 55.100 
Laboratory glassware, see 71.040.20"
1427,"81.060.01","Ceramics in general","陶瓷综合",1417,1,
1428,"81.060.10","Raw materials","原料",1417,1,
1429,"81.060.20","Ceramic products","陶瓷制品",1417,1,"Ceramic tiles, see 91.100.23 
Ceramic building products, see 91.100.25 
Sanitary ceramic products, see 91.140.70"
1430,"81.060.30","Advanced ceramics","高级陶瓷",1417,1,
1431,"81.060.99","Other standards related to ceramics","有关陶瓷的其他制品",1417,1,
1434,"83.020","Manufacturing processes in the rubber and plastics industries","橡胶和塑料工业的生产工艺",34,1,
1435,"83.040","Raw materials for rubber and plastics","橡胶原料和塑料原料",34,1,
