"id","code","num","digits","name","name_cn","is_complementary","is_funds_code","is_bond_market_unit","enabled","dest"
334,"SEK","752","2","Swedish krona/kronor","瑞典克朗",0,0,0,1,
335,"SGD","702","2","Singapore dollar","新加坡元",0,0,0,1,
336,"SHP","654","2","Saint Helena pound","圣赫勒拿镑",0,0,0,1,
337,"SLL","694","2","Sierra Leonean leone","塞拉利昂利昂",0,0,0,1,
338,"SOS","706","2","Somali shilling","索马里先令",0,0,0,1,
339,"SRD","968","2","Surinamese dollar","苏里南元",0,0,0,1,
340,"SSP","728","2","South Sudanese pound","南苏丹镑",0,0,0,1,
341,"STN","930","2","São Tomé and Príncipe dobra","圣多美和普林西比多布拉",0,0,0,1,
342,"SVC","222","2","Salvadoran colón","萨尔瓦多科朗",0,0,0,1,
343,"SYP","760","2","Syrian pound","叙利亚镑",0,0,0,1,
344,"SZL","748","2","Swazi lilangeni","斯威士兰里兰吉尼",0,0,0,1,
345,"THB","764","2","Thai baht","泰铢",0,0,0,1,
346,"TJS","972","2","Tajikistani somoni","塔吉克斯坦索莫尼",0,0,0,1,
347,"TMT","934","2","Turkmenistan manat","土库曼斯坦马纳特",0,0,0,1,
348,"TND","788","3","Tunisian dinar","突尼斯第纳尔",0,0,0,1,
349,"TOP","776","2","Tongan paʻanga","汤加潘加",0,0,0,1,
350,"TRY","949","2","Turkish lira","土耳其里拉",0,0,0,1,
351,"TTD","780","2","Trinidad and Tobago dollar","特立尼达和多巴哥元",0,0,0,1,
352,"TWD","901","2","New Taiwan dollar","新台币",0,0,0,1,
353,"TZS","834","2","Tanzanian shilling","坦桑尼亚先令",0,0,0,1,
354,"UAH","980","2","Ukrainian hryvnia","乌克兰格里夫纳",0,0,0,1,
355,"UGX","800","0","Ugandan shilling","乌干达先令",0,0,0,1,
356,"USD","840","2","United States dollar","美元",0,0,0,1,
359,"UYU","858","2","Uruguayan peso","乌拉圭比索",0,0,0,1,
360,"UZS","860","2","Uzbekistan som","乌兹别克斯坦索姆",0,0,0,1,
361,"VEF","937","2","Venezuelan bolívar","委内瑞拉玻利瓦尔",0,0,0,1,
362,"VND","704","0","Vietnamese đồng","越南盾",0,0,0,1,
363,"VUV","548","0","Vanuatu vatu","瓦努阿图瓦图",0,0,0,1,
364,"WST","882","2","Samoan tala","萨摩亚塔拉",0,0,0,1,
365,"XAF","950","0","CFA franc BEAC","中非法郎",0,0,0,1,
366,"XAG","961",,"Silver (one troy ounce)","银（1金衡盎司）",0,0,0,1,
367,"XAU","959",,"Gold (one troy ounce)","金（1金衡盎司）",0,0,0,1,
372,"XCD","951","2","East Caribbean dollar","东加勒比元",0,0,0,1,
373,"XDR","960",,"Special drawing rights","特别提款权",0,0,0,1,
374,"XOF","952","0","CFA franc BCEAO","西非法郎",0,0,0,1,
375,"XPD","964",,"Palladium (one troy ounce)","钯（1金衡盎司）",0,0,0,1,
376,"XPF","953","0","CFP franc (franc Pacifique)","太平洋法郎",0,0,0,1,
377,"XPT","962",,"Platinum (one troy ounce)","铂（1金衡盎司）",0,0,0,1,
378,"XSU","994",,"SUCRE","苏克雷",0,0,0,1,
379,"XTS","963",,"Code reserved for testing purposes","为测试而特别保留的代码",0,0,0,1,
