"id","code","name","short_name","enabled","dest"
1,"01","中国共产党","中共",1,
2,"04","中国国民党革命委员会","民革",1,
3,"05","中国民主同盟","民盟",1,
4,"06","中国民主建国会","民建",1,
5,"07","中国民主促进会","民进",1,
6,"08","中国农工民主党","农工党",1,
7,"09","中国致公党","致工党",1,
8,"10","九三学社",,1,
9,"11","台湾民主自治同盟","台盟",1,
10,"12","无党派",,1,
